Feature,KS_pvalue,Drift_Detected
Avg_weekly_Lat,0.0010839776277430499,True
Avg_weekly_Lon,0.009182146745527659,True
Avg_weekly_Depth,1.4753349255791448e-15,True
Avg_weekly_WaterTemp,0.002058830321615406,True
Chlor_a_mg_m3,2.3703163005646394e-12,True
SSH,5.106770498895232e-92,True
Avg_weekly_WaterTemp_2wk,0.001237295856238655,True
Avg_weekly_WaterTemp_3wk,0.001237295856238655,True
Avg_weekly_WaterTemp_5wk,0.0004942274424014908,True
Avg_weekly_Depth_2wk,4.436555837212751e-17,True
Avg_weekly_Depth_3wk,7.399840990628622e-18,True
Avg_weekly_Depth_5wk,3.379079595012723e-19,True
Chlor_a_mg_m3_5wk,2.593858226180934e-12,True
SSH_5wk,2.6323407735234857e-93,True
sin_week,0.06550967127889139,False
cos_week,0.1382770799194815,False
Temp_x_Depth,3.3312649967763604e-29,True
Temp_x_Depth_3wk,1.308874956579429e-33,True
Temp_x_Depth_2wk,8.167149757940942e-31,True
Temp_x_Depth_5wk,2.2727547247459004e-39,True
Temp_x_Chlor,1.3987287437360357e-08,True
Depth_x_Chlor,1.823392878990188e-20,True
Temp_x_SSH,2.5969977684095044e-62,True
